"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"BAT?","1","CR1220","","","","","~"
"C1,C2","2","2.2u","","","","",""
"C3,C4,C5,C6,C7,C8,C9,C10,C11,C22,C24","11","0.1u","","","","","~"
"C12,C13","2","22u","","","","",""
"C14,C15,C16,C17,C23,C35,C38","7","10u","","","","","~"
"C18,C19","2","10p","","","","",""
"C20,C21","2","5p","","","","",""
"C25,C27,C30,C31,C32,C33,C34,C36,C37,C39","10","100n","","","","","~"
"C26","1","4u7","","","","",""
"C28","1","10u/L-ESR","","","","",""
"C29","1","1u","","","","","~"
"D1","1","BAT54C","","","","Package_TO_SOT_SMD:SOT-23","http://www.diodes.com/_files/datasheets/ds11005.pdf"
"D2","1","WL-SFTW_3528_PLCC4","","","","WL-SFTW_3528_PLCC4:WL-SFTW_3528_PLCC4","https://www.we-online.com/components/products/datasheet/150141M173100.pdf"
"D3","1","1N5819WS","","","","Diode_SMD:D_SOD-323","https://datasheet.lcsc.com/lcsc/2204281430_Guangdong-Hottech-1N5819WS_C191023.pdf"
"D4,D5,D6,D7,D8,D9","6","LED_GREEN","","","","","~"
"F1","1","0ZCJ0005FF2E","","","","0ZCJ0005FF2E:FUSC3216X85N",""
"J1","1","503398-1892","","","","503398-1892:MOLEX_503398-1892",""
"J2","1","USB4105-GF-A","","","","USB4105-GF-A:GCT_USB4105-GF-A",""
"J3","1","Screw_Terminal_01x12","","","","","~"
"L1","1","600Ω/100MHz","","","","","~"
"Q1,Q2,Q3","3","ZXMS6004DN8-13","","","","SO-8_ZXMS6004DN8_DIO","ZXMS6004DN8-13"
"R1,R4,R5,R6","4","1k","","","","","~"
"R2","1","10","","","","","~"
"R3","1","NC","","","","","~"
"R7,R8,R9,R10,R11,R18,R20,R22,R23,R26,R28,R30,R31,R34,R36,R38,R39,R44,R45","19","10k","","","","","~"
"R12,R13","2","22","","","","","~"
"R14,R17","2","0","","","","","~"
"R15,R16","2","5.1k","","","","","~"
"R19,R21,R24,R25,R27,R29,R32,R33,R35,R37,R40,R41","12","1k5","","","","","~"
"R42,R43","2","4.7k","","","","","~"
"SW1","1","SW_SPST","","","","","~"
"U1","1","AMS1117-3.3","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","http://www.advanced-monolithic.com/pdf/ds1117.pdf"
"U2","1","TPD4E05U06DQAR","","","","TPD4E05U06DQAR:IC_TPD4E05U06DQAR",""
"U3","1","BMP388","","","","BMP388:PQFN50P200X200X80-10N",""
"U4","1","MMC5983MA","","","","MMC5983MA_MEM","MMC5983MA"
"U5","1","BMI088","","","","BMI088:PQFN50P450X300X100-16N",""
"U6","1","LSM6DSVTR","","","","LGA14-L_2P59X3P1X0P5_STM","LSM6DSVTR"
"U7","1","H3LIS331DLTR","","","","H3LIS331DLTR:QFN300X300X100-16N",""
"U8","1","MIA-M10Q-00B","","","","LGA_M10Q-00B_UBL","MIA-M10Q-00B"
"U9","1","UM3488EESA","","","","SOP8_USC","UM3488EESA"
"U?,U?","2","STM32H750VBT6","","","","Package_QFP:LQFP-100_14x14mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32h750vb.pdf"
"Y1","1","25MHz","","","","","~"
"Y2","1","32.768KHz","","","","","~"
"Y3","1","Crystal","","","","","~"
